max_depth,min_samples_split,C,kernel,n_neighbors,weights
5,2,100.0,rbf,8,uniform
5,2,100.0,rbf,10,uniform
3,2,100.0,rbf,8,uniform
10,2,1.0,rbf,8,uniform
10,2,1.0,rbf,10,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,100.0,rbf,8,uniform
5,2,0.1,linear,9,uniform
10,2,100.0,rbf,7,uniform
5,2,100.0,linear,10,uniform
5,2,100.0,linear,9,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,0.1,linear,8,uniform
5,2,0.1,linear,5,uniform
10,2,100.0,linear,10,uniform
10,2,100.0,linear,5,uniform
10,2,100.0,linear,10,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,0.1,rbf,10,uniform
10,2,0.1,linear,9,uniform
10,2,100.0,rbf,9,uniform
10,2,100.0,rbf,7,uniform
10,2,10.0,linear,9,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,100.0,rbf,5,uniform
10,2,100.0,rbf,5,uniform
10,2,100.0,rbf,9,uniform
10,2,100.0,rbf,10,uniform
10,2,100.0,linear,9,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,0.1,linear,8,uniform
10,2,0.1,linear,9,uniform
10,2,0.1,linear,9,uniform
10,2,100.0,rbf,7,uniform
10,2,100.0,rbf,6,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,100.0,rbf,7,uniform
10,2,100.0,rbf,7,uniform
10,2,100.0,rbf,5,uniform
5,2,100.0,rbf,9,uniform
10,2,100.0,rbf,10,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,100.0,rbf,5,uniform
10,2,10.0,rbf,7,uniform
10,2,100.0,rbf,9,uniform
10,2,100.0,rbf,7,uniform
10,2,100.0,rbf,9,uniform
max_depth,min_samples_split,C,kernel,n_neighbors,weights
10,2,100.0,rbf,10,uniform
10,2,100.0,rbf,8,uniform
10,10,100.0,rbf,7,uniform
10,2,100.0,rbf,10,uniform
